id,Account,Amount,Counterparty,Tags,Date,Location
38,Checking,686.05,ACME,"Travel, Transportation, Entertainment, Groceries, General Expenses",2022-12-10,Australia
39,Checking,645.43,Amazon,Transportation,2022-12-24,Australia
40,Joint Account,132.46,Grab,"Entertainment, Dining, Travel",2022-07-23,Indonesia
41,Savings,715.26,Amazon,"Entertainment, General Expenses, Transportation, Dining",2022-06-29,Indonesia
42,Savings,625.66,Walmart,"Dining, Groceries, Transportation, General Expenses, Travel",2022-06-14,Australia
43,Checking,188.14,Grab,"Groceries, General Expenses, Dining, Entertainment, Travel, Transportation",2022-08-13,Australia
44,Savings,833.01,Amazon,"Dining, Travel, Entertainment, Groceries, General Expenses, Transportation",2022-09-10,Australia
45,Savings,101.62,Amazon,"General Expenses, Travel, Groceries",2022-07-24,Japan
46,Savings,248.26,ACME,"Groceries, Dining, Transportation, Entertainment",2022-08-13,Singapore
47,Checking,950.2,Walmart,"Groceries, General Expenses, Dining, Travel",2022-07-22,Singapore
48,Checking,624.21,ACME,Dining,2022-06-24,Japan
49,Joint Account,985.72,Fairprice,"Entertainment, Transportation, Groceries, General Expenses, Travel",2022-12-09,Singapore
50,Checking,37.2,Fairprice,"Groceries, Dining, Travel, Entertainment",2022-10-20,Australia
51,Checking,874.59,Amazon,"Dining, Travel, General Expenses, Transportation, Groceries, Entertainment",2022-10-23,Singapore
52,Checking,452.02,Gojek,"General Expenses, Groceries, Entertainment, Transportation",2022-07-25,Japan
53,Joint Account,840.86,Amazon,"Transportation, Travel, Groceries, General Expenses",2022-09-02,Singapore
54,Joint Account,3.73,ACME,"Transportation, Travel, Entertainment, Dining, General Expenses",2022-09-07,Japan
55,Savings,210.41,Starbucks,"Groceries, Travel",2022-08-22,Singapore
56,Savings,681.69,Amazon,"Travel, Dining, Groceries",2022-12-16,Singapore
57,Joint Account,45.68,Starbucks,"Entertainment, Transportation, Travel, Dining",2022-11-14,Australia
58,Checking,314.29,Uber,"Dining, Groceries, Transportation, Entertainment, General Expenses, Travel",2022-10-22,Australia
59,Savings,145.55,Uber,"General Expenses, Transportation, Groceries",2022-09-16,Japan
60,Checking,963.65,Uber,"General Expenses, Groceries",2022-12-05,Indonesia
61,Joint Account,767.07,Uber,"General Expenses, Entertainment",2022-10-28,Japan
62,Savings,772.1,Amazon,"Groceries, General Expenses, Travel, Dining",2022-12-14,Japan
63,Savings,249.27,Google,"Entertainment, Groceries, General Expenses, Travel, Transportation, Dining",2022-09-26,Singapore
64,Savings,836.48,Google,"Transportation, Groceries",2022-06-05,Japan
65,Joint Account,402.45,Amazon,"Dining, General Expenses, Entertainment, Groceries, Travel, Transportation",2022-06-03,Australia
66,Savings,642.76,Grab,"Transportation, General Expenses, Entertainment, Groceries",2022-12-01,Indonesia
67,Checking,116.92,Grab,"General Expenses, Entertainment, Dining, Transportation, Travel",2022-10-09,Indonesia
68,Savings,939.01,Fairprice,Travel,2022-12-06,Indonesia
69,Savings,167.71,Grab,"Entertainment, General Expenses, Groceries, Dining, Travel, Transportation",2022-11-20,Singapore
70,Joint Account,963.85,Uber,"Entertainment, Dining, Transportation, Groceries, Travel",2022-11-29,Indonesia
71,Savings,961.2,Fairprice,"Transportation, Groceries",2022-12-26,Indonesia
72,Savings,982.54,Walmart,"Travel, Dining, Groceries",2022-07-04,Australia
73,Joint Account,494.78,Amazon,"General Expenses, Entertainment, Transportation, Travel, Dining",2022-11-03,Indonesia
74,Checking,163.74,Grab,"Travel, Entertainment, General Expenses, Dining",2022-10-26,Japan
75,Joint Account,82.06,Fairprice,"Transportation, Travel, Dining, Groceries, General Expenses",2022-11-21,Indonesia
76,Checking,695.9,Starbucks,"Dining, Travel",2022-12-02,Indonesia
77,Savings,911.45,Grab,Dining,2022-08-17,Singapore
78,Checking,70.49,Uber,"Entertainment, Travel, Dining, General Expenses, Transportation",2022-11-28,Japan
79,Checking,774.56,Amazon,"Groceries, Dining, Entertainment, Transportation",2022-08-06,Japan
80,Joint Account,662.06,Starbucks,"Entertainment, Groceries, Travel, Transportation, Dining",2022-11-19,Japan
81,Checking,623.51,Walmart,"Groceries, Travel, Entertainment, Transportation",2022-08-04,Indonesia
82,Checking,452.11,Grab,"General Expenses, Dining, Travel, Entertainment",2022-12-07,Singapore
83,Checking,522.24,Fairprice,"General Expenses, Travel",2022-12-27,Singapore
84,Checking,245.91,Uber,Groceries,2022-10-07,Australia
85,Checking,980.53,Fairprice,"General Expenses, Dining",2022-12-24,Japan
86,Joint Account,557.21,Grab,"General Expenses, Groceries",2022-11-07,Singapore
87,Joint Account,810.91,Starbucks,"General Expenses, Entertainment, Groceries, Travel, Dining, Transportation",2022-08-02,Singapore
88,Checking,663.97,Gojek,"General Expenses, Dining, Groceries",2022-09-21,Australia
89,Savings,523.64,Starbucks,Travel,2022-09-13,Japan
90,Savings,725.9,Walmart,"Groceries, Dining, Travel, General Expenses, Transportation",2022-08-18,Japan
91,Joint Account,976.79,Walmart,"Transportation, Entertainment, Dining, Travel, Groceries, General Expenses",2022-09-03,Japan
92,Savings,637.75,Grab,"Dining, Transportation",2022-09-14,Australia
93,Checking,268.15,Grab,"Transportation, Dining, General Expenses, Travel, Groceries",2022-09-30,Australia
94,Joint Account,282.72,Walmart,"General Expenses, Entertainment, Transportation",2022-08-13,Australia
95,Joint Account,396.41,Fairprice,"Travel, Transportation, Dining, Groceries",2022-12-26,Singapore
96,Checking,128.36,Walmart,"General Expenses, Dining, Groceries, Travel",2022-06-27,Japan
97,Joint Account,810.67,Google,"Entertainment, Dining",2022-12-20,Australia
98,Savings,744.83,Uber,"Dining, Entertainment, Groceries, General Expenses, Travel, Transportation",2022-12-29,Japan
99,Joint Account,727.05,Gojek,"Transportation, Groceries, Dining, General Expenses, Entertainment",2022-07-19,Indonesia
100,Joint Account,976.75,Walmart,"Groceries, Entertainment, Dining, General Expenses",2022-09-08,Australia
101,Joint Account,778.47,Gojek,"Transportation, Dining, Entertainment, General Expenses, Travel",2022-07-04,Japan
102,Checking,967.19,Google,"Dining, Travel, Transportation",2022-09-12,Australia
103,Savings,489.71,Gojek,"Dining, Travel, Entertainment, General Expenses",2022-06-23,Australia
104,Checking,601.17,ACME,Entertainment,2022-06-18,Japan
105,Joint Account,933.54,Grab,Travel,2022-11-06,Japan
106,Joint Account,236.39,ACME,"Dining, Transportation, Groceries, General Expenses, Travel, Entertainment",2022-10-30,Indonesia
107,Checking,593.34,Amazon,Dining,2022-09-10,Japan
108,Joint Account,69.46,Google,"Groceries, Travel",2022-11-29,Australia
109,Savings,728.41,Grab,"Travel, General Expenses, Dining, Groceries, Transportation, Entertainment",2022-08-26,Indonesia
110,Savings,167.55,Amazon,"Entertainment, General Expenses, Groceries, Transportation",2022-12-11,Australia
111,Joint Account,388.89,Gojek,"Groceries, Entertainment",2022-07-03,Singapore
112,Savings,158.76,Amazon,"Transportation, Entertainment, Dining, General Expenses, Groceries",2022-11-13,Singapore
113,Checking,573.96,Amazon,"Entertainment, Groceries, Transportation, Travel, General Expenses",2022-08-29,Japan
114,Joint Account,776.87,Starbucks,"Dining, Groceries, Transportation",2022-08-26,Japan
115,Checking,456.67,Starbucks,"Entertainment, Dining, General Expenses, Transportation, Travel",2022-06-23,Australia
116,Savings,442.19,Uber,"Travel, Entertainment, Transportation, Groceries, General Expenses",2022-09-02,Japan
117,Checking,580.56,ACME,"Entertainment, Groceries, Travel, General Expenses",2022-11-02,Singapore
118,Savings,129.55,Walmart,"Dining, Groceries, General Expenses",2022-08-21,Japan
119,Checking,759.59,Grab,"Entertainment, General Expenses, Groceries",2022-12-13,Japan
120,Checking,603.13,Grab,"Entertainment, General Expenses, Dining",2022-07-26,Singapore
121,Joint Account,728.46,Grab,"Dining, Groceries, Transportation",2022-11-26,Japan
122,Savings,229.61,Walmart,"General Expenses, Groceries, Travel, Dining, Transportation, Entertainment",2022-06-24,Singapore
123,Joint Account,731.57,Google,"General Expenses, Transportation, Travel, Dining",2022-10-23,Australia
124,Joint Account,688.62,Amazon,"Dining, General Expenses, Travel, Entertainment, Transportation, Groceries",2022-10-26,Japan
125,Joint Account,63.11,Amazon,"Transportation, Entertainment, Travel",2022-09-30,Indonesia
126,Savings,416.87,Gojek,"General Expenses, Travel, Entertainment, Dining",2022-12-17,Singapore
127,Joint Account,699.59,ACME,"Groceries, Transportation, Travel",2022-06-21,Japan
128,Joint Account,23.15,Uber,"Groceries, Entertainment",2022-07-06,Australia
129,Checking,534.62,Uber,"Groceries, Entertainment, Dining, Transportation",2022-11-11,Japan
130,Checking,269.53,Gojek,"Transportation, Travel, Dining, Entertainment, General Expenses",2022-12-12,Singapore
131,Checking,474.94,Uber,"General Expenses, Groceries",2022-11-19,Australia
132,Checking,507.32,Amazon,"Transportation, Travel, Entertainment, General Expenses, Dining, Groceries",2022-12-01,Japan
133,Joint Account,867.97,Walmart,"Groceries, Travel",2022-06-07,Singapore
134,Savings,211.38,ACME,"General Expenses, Entertainment",2022-12-02,Indonesia
135,Joint Account,224.46,Gojek,"Transportation, Entertainment, Dining, Groceries, General Expenses",2022-07-11,Indonesia
136,Savings,704.15,Starbucks,"Travel, Transportation, Entertainment, Groceries",2022-11-03,Japan
137,Checking,123.79,Amazon,"Transportation, General Expenses, Dining, Groceries, Entertainment, Travel",2022-06-30,Indonesia
138,Checking,424.84,ACME,"Entertainment, Transportation, General Expenses",2022-10-12,Japan
139,Savings,2.31,Walmart,Transportation,2022-09-19,Indonesia
140,Savings,54.32,Walmart,"Transportation, Groceries, Travel, General Expenses",2022-07-20,Australia
141,Savings,664.25,Google,"General Expenses, Dining, Transportation, Groceries, Travel",2022-09-07,Singapore
142,Checking,713.04,Gojek,"Groceries, Entertainment, Travel",2022-07-06,Indonesia
143,Savings,485.16,Starbucks,"Transportation, General Expenses, Groceries, Dining, Travel",2022-08-30,Japan
144,Savings,285.95,Starbucks,"Groceries, Entertainment, General Expenses, Transportation",2022-09-02,Indonesia
145,Checking,716.82,Walmart,"Transportation, Travel, Groceries, Dining, Entertainment, General Expenses",2022-07-11,Japan
146,Savings,576.05,Gojek,Transportation,2022-11-03,Indonesia
147,Savings,258.76,Fairprice,"Transportation, Travel, General Expenses, Dining",2022-12-21,Indonesia
148,Joint Account,86.25,Grab,"General Expenses, Entertainment, Transportation, Groceries",2022-09-27,Singapore
149,Checking,17.24,Walmart,"Groceries, Entertainment, Transportation, Travel",2022-08-12,Japan
150,Joint Account,973.26,Uber,"Transportation, General Expenses, Dining",2022-06-16,Japan
151,Savings,426.63,ACME,General Expenses,2022-09-04,Singapore
152,Joint Account,540.64,Amazon,"Travel, Groceries",2022-07-04,Singapore
153,Savings,57.54,Fairprice,"General Expenses, Entertainment, Transportation, Groceries, Dining",2022-07-10,Indonesia
154,Savings,450.38,ACME,Transportation,2022-12-12,Japan
155,Checking,849.1,Starbucks,Entertainment,2022-11-21,Australia
156,Joint Account,691.89,Fairprice,Entertainment,2022-11-13,Australia
157,Checking,310.97,Fairprice,"Transportation, Entertainment, Groceries",2022-07-15,Australia
158,Joint Account,750.56,Amazon,"Travel, Transportation, Dining, Entertainment, General Expenses",2022-10-15,Singapore
159,Savings,672.22,Starbucks,"Dining, Transportation, Travel, General Expenses, Groceries",2022-09-07,Japan
160,Checking,568.7,Fairprice,Entertainment,2022-12-25,Singapore
161,Savings,293.1,Fairprice,Dining,2022-08-28,Indonesia
162,Joint Account,792.95,Walmart,"Transportation, General Expenses, Dining",2022-11-30,Japan
163,Joint Account,507.66,Google,General Expenses,2022-06-08,Indonesia
164,Savings,949.6,Amazon,"General Expenses, Transportation, Entertainment, Dining",2022-10-29,Indonesia
165,Joint Account,622.43,Walmart,"Transportation, Travel, Groceries, Dining, Entertainment",2022-10-26,Indonesia
166,Checking,432.52,Gojek,"Entertainment, Travel",2022-06-17,Singapore
167,Joint Account,83.34,Gojek,"Entertainment, Transportation, Groceries, General Expenses, Travel",2022-07-26,Japan
168,Savings,558.19,Walmart,"Groceries, General Expenses",2022-09-27,Indonesia
169,Joint Account,924.12,Amazon,"Travel, General Expenses, Groceries, Transportation, Entertainment, Dining",2022-11-28,Japan
170,Savings,155.77,ACME,"Entertainment, Dining, Transportation, General Expenses, Travel, Groceries",2022-09-23,Australia
171,Checking,852.26,Amazon,"Travel, Dining, Groceries",2022-12-01,Singapore
172,Joint Account,867.73,Gojek,"Transportation, Groceries",2022-11-20,Singapore
173,Joint Account,999.64,Uber,"Dining, Travel, General Expenses",2022-08-23,Japan
174,Joint Account,929.85,Google,"Entertainment, Groceries",2022-09-08,Australia
175,Joint Account,876.92,Amazon,"Entertainment, Transportation, Groceries, General Expenses, Travel, Dining",2022-08-11,Indonesia
176,Savings,394.92,Starbucks,"Transportation, Entertainment, Groceries, General Expenses, Dining, Travel",2022-11-15,Japan
177,Checking,840.68,Grab,"Dining, Travel, Entertainment, Transportation, Groceries",2022-09-18,Singapore
178,Joint Account,356.2,Gojek,"Entertainment, Dining, Transportation, Travel, Groceries",2022-06-02,Japan
179,Savings,50.83,Walmart,"Travel, Entertainment",2022-12-16,Australia
180,Checking,865.95,Starbucks,Travel,2022-06-24,Singapore
181,Joint Account,256.22,Google,"Transportation, General Expenses",2022-06-15,Singapore
182,Savings,354.95,Starbucks,"Dining, General Expenses, Entertainment, Groceries, Transportation, Travel",2022-10-02,Singapore
183,Checking,103.09,Walmart,"Travel, Entertainment, Dining, Groceries",2022-09-01,Australia
184,Savings,147.1,Fairprice,"Travel, General Expenses",2022-06-23,Indonesia
185,Checking,718.77,Walmart,"Groceries, General Expenses, Entertainment",2022-10-27,Japan
186,Checking,819.08,Amazon,General Expenses,2022-08-11,Indonesia
187,Checking,821.71,Walmart,"Travel, General Expenses, Groceries, Transportation",2022-11-16,Australia
188,Joint Account,543.93,Google,Dining,2022-07-06,Australia
189,Savings,335.55,Gojek,"Dining, General Expenses, Transportation, Travel, Groceries, Entertainment",2022-12-27,Singapore
190,Joint Account,848.65,Starbucks,"Groceries, Transportation, Dining, Entertainment",2022-07-22,Indonesia
191,Savings,559.53,Google,"Entertainment, Dining, Transportation, General Expenses",2022-11-08,Japan
192,Checking,582.52,Starbucks,"Transportation, Dining, General Expenses",2022-07-02,Indonesia
193,Joint Account,499.5,Starbucks,General Expenses,2022-07-01,Indonesia
194,Savings,953.62,Gojek,"Transportation, Dining, Travel, General Expenses, Entertainment, Groceries",2022-11-08,Australia
195,Savings,459.08,Grab,"Groceries, Dining, General Expenses",2022-09-29,Japan
196,Checking,166.06,Uber,"Transportation, General Expenses",2022-09-19,Singapore
197,Savings,330.79,Google,"Groceries, General Expenses, Transportation",2022-08-30,Australia
198,Joint Account,152.85,Uber,"General Expenses, Dining, Transportation, Entertainment, Travel",2022-08-13,Singapore
199,Savings,331.12,Grab,"Travel, General Expenses, Entertainment, Dining, Groceries, Transportation",2022-09-26,Singapore
200,Joint Account,447.82,Starbucks,"General Expenses, Groceries, Transportation",2022-07-04,Indonesia
201,Joint Account,170.21,Walmart,"General Expenses, Dining",2022-12-30,Singapore
202,Checking,625.39,Uber,"Dining, Entertainment",2022-10-27,Japan
203,Checking,12.05,Starbucks,Groceries,2022-07-25,Indonesia
204,Joint Account,34.66,Gojek,"Travel, Transportation, Entertainment, Groceries, General Expenses",2022-11-26,Japan
205,Joint Account,779.57,ACME,"Entertainment, Transportation, Travel, Groceries",2022-10-22,Australia
206,Savings,199.75,Walmart,"Transportation, Dining",2022-08-25,Australia
207,Checking,233.03,Starbucks,"Groceries, Travel, General Expenses, Entertainment",2022-07-09,Australia
208,Checking,571.41,Walmart,General Expenses,2022-10-20,Australia
209,Savings,726.57,Amazon,Travel,2022-09-25,Australia
210,Checking,2.06,Gojek,"Entertainment, Travel, Dining, General Expenses, Groceries",2022-10-09,Singapore
211,Joint Account,214.23,Starbucks,"Entertainment, General Expenses, Transportation",2022-09-12,Singapore
212,Savings,989.91,ACME,Entertainment,2022-10-11,Japan
213,Savings,322.9,Grab,"Travel, Dining",2022-07-02,Japan
214,Checking,560.37,ACME,"Travel, Entertainment, General Expenses, Groceries, Dining",2022-06-21,Indonesia
215,Savings,102.03,Gojek,"General Expenses, Groceries, Travel",2022-06-21,Australia
216,Checking,211.55,Uber,"Transportation, Groceries, General Expenses, Dining, Travel",2022-08-16,Singapore
217,Joint Account,465.04,Uber,"General Expenses, Travel",2022-11-11,Indonesia
218,Joint Account,587.25,Grab,"Transportation, Travel",2022-12-17,Indonesia
219,Checking,646.64,Google,"Dining, Groceries, Entertainment, Travel, General Expenses, Transportation",2022-06-21,Indonesia
220,Checking,616.68,ACME,"Dining, Groceries",2022-06-02,Japan
221,Savings,457.99,Google,Transportation,2022-07-21,Japan
222,Savings,441.33,Walmart,"Dining, Groceries, Entertainment, Travel",2022-06-29,Australia
223,Savings,472.63,Amazon,Groceries,2022-06-18,Indonesia
224,Savings,460.33,Grab,"Groceries, Transportation, General Expenses",2022-08-23,Australia
225,Joint Account,103.85,Starbucks,"Groceries, General Expenses, Dining, Travel, Transportation, Entertainment",2022-06-26,Singapore
226,Checking,698.86,Amazon,"Entertainment, Travel, Groceries, Dining, Transportation, General Expenses",2022-12-09,Indonesia
227,Savings,920.01,Uber,"Groceries, Travel, Transportation, Entertainment, General Expenses",2022-10-20,Singapore
228,Savings,278.08,Grab,"Travel, Groceries, General Expenses, Transportation, Entertainment",2022-11-21,Indonesia
229,Savings,125.56,Google,Dining,2022-12-30,Singapore
230,Joint Account,226.28,Starbucks,"Groceries, Transportation, Dining, Travel",2022-08-16,Australia
231,Checking,542.41,Grab,"Transportation, Groceries, General Expenses, Travel, Dining",2022-06-08,Australia
232,Joint Account,643.43,ACME,Entertainment,2022-08-03,Australia
233,Savings,159.64,Google,"Dining, General Expenses, Groceries, Transportation",2022-12-23,Indonesia
234,Checking,918.6,Uber,"Transportation, Groceries, Entertainment",2022-10-31,Australia
235,Checking,798.75,Gojek,"Transportation, General Expenses, Groceries, Travel, Entertainment, Dining",2022-10-03,Indonesia
236,Checking,895.2,Amazon,"General Expenses, Entertainment, Transportation, Dining, Groceries, Travel",2022-10-07,Indonesia
237,Savings,342.72,Gojek,"Dining, Groceries, Transportation, General Expenses, Travel, Entertainment",2022-08-17,Australia
238,Checking,526.45,Gojek,"Entertainment, General Expenses, Dining, Transportation, Groceries",2022-06-11,Singapore
239,Joint Account,551.23,Starbucks,"Transportation, Travel, Entertainment",2022-07-14,Indonesia
240,Checking,714.4,Uber,"Dining, Entertainment, General Expenses, Transportation, Groceries",2022-11-21,Singapore
241,Joint Account,214.01,Amazon,"Entertainment, General Expenses, Groceries, Transportation, Dining, Travel",2022-12-13,Australia
242,Checking,299.87,Fairprice,"Dining, Travel, Transportation, General Expenses, Groceries, Entertainment",2022-10-02,Japan
243,Checking,290.88,Uber,Transportation,2022-10-08,Japan
244,Joint Account,92.28,Walmart,Entertainment,2022-06-21,Singapore
245,Savings,489.12,Starbucks,"Travel, General Expenses, Groceries, Transportation",2022-12-05,Japan
246,Savings,336.47,Fairprice,"Dining, Travel",2022-06-30,Singapore
247,Joint Account,219.1,Amazon,"Groceries, Entertainment",2022-06-24,Japan
248,Savings,383.43,Grab,"Dining, General Expenses, Transportation",2022-08-16,Australia
249,Checking,170.05,Uber,"Dining, General Expenses, Groceries, Entertainment",2022-09-11,Japan
250,Savings,57.91,ACME,"General Expenses, Travel, Transportation",2022-06-04,Singapore
251,Joint Account,882.24,Walmart,"Entertainment, Groceries, General Expenses, Transportation",2022-07-31,Japan
252,Checking,863.08,Grab,"Entertainment, Dining, Travel",2022-12-13,Japan
253,Joint Account,439.9,Gojek,"Transportation, General Expenses",2022-07-22,Indonesia
254,Checking,355.44,Fairprice,"Travel, Transportation, Entertainment, General Expenses, Dining",2022-09-23,Australia
255,Joint Account,58.03,Grab,"Travel, Entertainment, Transportation, Dining, Groceries",2022-07-06,Indonesia
256,Checking,545.96,Uber,"Dining, Travel",2022-10-21,Australia
257,Savings,12.17,Google,Travel,2022-08-07,Singapore
258,Savings,575.88,Uber,"Transportation, Dining, Entertainment",2022-06-24,Indonesia
259,Joint Account,652.53,Gojek,"Dining, Groceries, Travel, General Expenses, Entertainment",2022-11-25,Singapore
260,Joint Account,90.25,ACME,"Entertainment, Dining, Groceries, General Expenses",2022-07-29,Singapore
261,Savings,540.72,Amazon,"Transportation, Groceries, Dining, Travel, General Expenses, Entertainment",2022-10-24,Australia
262,Savings,879.67,Fairprice,General Expenses,2022-10-01,Australia
263,Joint Account,858.49,Grab,Transportation,2022-07-07,Indonesia
264,Joint Account,900.45,Uber,"Dining, Travel, Groceries, Entertainment, General Expenses, Transportation",2022-08-28,Australia
265,Checking,718.24,Uber,"Groceries, Entertainment, Travel, General Expenses, Transportation, Dining",2022-07-04,Japan
266,Checking,869.37,Uber,"Entertainment, Dining, Travel, Groceries",2022-07-11,Japan
267,Joint Account,353.75,ACME,"General Expenses, Groceries",2022-07-09,Indonesia
268,Joint Account,271.26,Fairprice,"Groceries, Dining, Entertainment",2022-12-08,Indonesia
269,Checking,694.16,Uber,"Travel, Entertainment, Dining, General Expenses",2022-12-04,Japan
270,Savings,112.5,ACME,"Dining, Groceries, General Expenses, Entertainment, Travel, Transportation",2022-07-20,Indonesia
271,Savings,434.67,ACME,"Entertainment, Dining, Groceries, Travel, General Expenses, Transportation",2022-08-08,Japan
272,Joint Account,661.43,Amazon,"Dining, Entertainment, Groceries, Transportation, Travel, General Expenses",2022-07-01,Singapore
273,Joint Account,728.53,Grab,Groceries,2022-11-10,Japan
274,Joint Account,274.28,Fairprice,"Entertainment, Transportation, Groceries, Dining, Travel, General Expenses",2022-09-19,Japan
275,Joint Account,258.87,Grab,"Dining, Entertainment, Groceries, General Expenses",2022-10-26,Indonesia
276,Checking,178.18,Amazon,"Dining, Groceries, Transportation, General Expenses",2022-11-21,Australia
277,Savings,543.66,Walmart,"Groceries, Entertainment",2022-12-06,Indonesia
278,Joint Account,915.12,ACME,Groceries,2022-09-27,Australia
279,Joint Account,544.47,Starbucks,"General Expenses, Dining, Groceries",2022-11-02,Japan
280,Checking,119.63,Google,"Dining, Travel, General Expenses, Groceries, Transportation, Entertainment",2022-11-19,Singapore
281,Joint Account,661.49,Walmart,"Transportation, Entertainment, Dining",2022-08-29,Singapore
282,Checking,227.88,Starbucks,"Dining, General Expenses, Transportation, Entertainment, Groceries",2022-12-24,Singapore
283,Savings,101.03,Uber,"Dining, General Expenses, Transportation",2022-12-26,Singapore
284,Savings,902.75,ACME,"Dining, Groceries, Transportation, General Expenses",2022-11-19,Singapore
285,Joint Account,962.4,Grab,"Dining, Groceries, Travel",2022-07-17,Australia
286,Joint Account,291.22,Fairprice,"Transportation, Groceries, General Expenses",2022-06-09,Singapore
287,Checking,970.18,Grab,"Entertainment, Dining, General Expenses, Travel, Groceries",2022-11-04,Australia
288,Checking,941.16,Walmart,"Groceries, Entertainment, Travel, Transportation, Dining",2022-07-15,Australia
289,Savings,104.19,Grab,"General Expenses, Groceries, Dining",2022-06-01,Singapore
290,Checking,743.62,Uber,"Groceries, General Expenses, Entertainment, Dining, Transportation",2022-08-15,Indonesia
291,Joint Account,403.25,Fairprice,"Travel, General Expenses, Transportation, Groceries",2022-10-25,Australia
292,Checking,339.35,Uber,Transportation,2022-06-23,Indonesia
293,Checking,792.49,Walmart,"Entertainment, Groceries, General Expenses",2022-10-24,Singapore
294,Checking,228.24,Fairprice,"Transportation, Groceries, Entertainment, Dining",2022-12-23,Singapore
295,Savings,872.88,Google,"General Expenses, Entertainment, Dining, Transportation, Travel, Groceries",2022-12-04,Australia
296,Checking,479.09,ACME,"Entertainment, Travel, Dining",2022-12-22,Indonesia
297,Joint Account,487.03,Starbucks,"Dining, Travel, Transportation",2022-12-14,Japan
298,Savings,24.58,Amazon,"Transportation, Groceries",2022-09-30,Australia
299,Savings,3.72,Google,"Entertainment, Transportation, Groceries",2022-11-16,Indonesia
300,Checking,687.17,Uber,"Dining, Groceries, General Expenses, Travel, Transportation",2022-09-28,Australia
301,Joint Account,694.63,Grab,"Dining, Entertainment, Travel, Transportation",2022-12-28,Indonesia
302,Savings,926.98,Gojek,"Transportation, Entertainment",2022-09-11,Japan
303,Joint Account,40.18,Google,"General Expenses, Travel",2022-11-24,Australia
304,Checking,376.95,Starbucks,"Entertainment, Dining, Travel",2022-07-12,Indonesia
305,Savings,135.84,Starbucks,"Entertainment, General Expenses, Transportation",2022-09-24,Australia
